form_dx,group,Variable,Category,n
Home-IDDD,IDDD,age_range,09.5 to 20 mo,2
,,"",21 to 31.5 mo,5
,,"",2 to 4 years,13
,,"",5 years,7
,,"",5 to 8 years,10
,,"",9 to 12 years,5
,,"",12 to 13 years,2
,,"",14 to 15 years,1
,,"",18 to 21 years,1
,,"",03.5 to 6 mo,1
,,"",07 to 10.5 mo,1
,,Gender,Male,29
,,"",Female,19
,,ParentHighestEducation,High school graduate (including GED),11
,,"",Some college or associate degree,14
,,"",Bachelor's degree or higher,23
,,Ethnicity,Hispanic,12
,,"",Black,7
,,"",White,27
,,"",MultiRacial,2
,Matched typical,age_range,09.5 to 20 mo,2
,,"",21 to 31.5 mo,5
,,"",2 to 4 years,13
,,"",5 years,7
,,"",5 to 8 years,10
,,"",9 to 12 years,5
,,"",12 to 13 years,2
,,"",14 to 15 years,1
,,"",18 to 21 years,1
,,"",03.5 to 6 mo,1
,,"",07 to 10.5 mo,1
,,Gender,Male,29
,,"",Female,19
,,ParentHighestEducation,High school graduate (including GED),11
,,"",Some college or associate degree,14
,,"",Bachelor's degree or higher,23
,,Ethnicity,Hispanic,12
,,"",Black,7
,,"",White,27
,,"",MultiRacial,2
School-IDDD,IDDD,age_range,2 to 4 years,11
,,"",5 years,8
,,"",5 to 8 years,13
,,"",9 to 12 years,7
,,"",12 to 13 years,4
,,"",14 to 15 years,1
,,Gender,Male,28
,,"",Female,16
,,Ethnicity,Hispanic,8
,,"",Black,10
,,"",White,25
,,"",MultiRacial,1
,Matched typical,age_range,2 to 4 years,11
,,"",5 years,8
,,"",5 to 8 years,13
,,"",9 to 12 years,7
,,"",12 to 13 years,4
,,"",14 to 15 years,1
,,Gender,Male,28
,,"",Female,16
,,Ethnicity,Hispanic,8
,,"",Black,10
,,"",White,25
,,"",MultiRacial,1
